TransactionRef,Amt,TxnDate,AccountNumber
TXN00102,25577.62,02/27/2026,ACC5401
TXN00103,4193.34,01/12/2026,ACC3322
TXN00104,7063.95,04/15/2026,ACC9335
TXN00105,11953.49,04/25/2026,ACC8964
TXN00106,34238.61,02/21/2026,ACC5947
TXN00107,16145.86,04/18/2026,ACC6428
TXN00108,47024.11,01/26/2026,ACC1192
TXN00109,3716.38,02/19/2026,ACC2251
TXN00110,42785.64,02/05/2026,ACC2666
TXN00111,33267.92,03/23/2026,ACC3439
TXN00112,16122.27,04/09/2026,ACC7116
TXN00113,40692.13,03/22/2026,ACC7554
TXN00114,10570.07,01/11/2026,ACC1810
TXN00115,32402.29,02/06/2026,ACC8955
TXN00116,21035.9,02/06/2026,ACC5878
TXN00117,20607.36,01/31/2026,ACC5928
TXN00118,8782.96,01/21/2026,ACC2231
TXN00119,27744.13,02/27/2026,ACC6453
TXN00120,27615.37,02/01/2026,ACC2486
TXN00121,12336.77,02/03/2026,ACC4311
TXN00122,19450.48,04/06/2026,ACC9587
TXN00123,25158.22,03/15/2026,ACC6900
TXN00124,5083.61,04/25/2026,ACC5070
TXN00125,47720.21,04/19/2026,ACC1357
TXN00126,48429.92,03/04/2026,ACC1002
TXN00127,46546.81,04/29/2026,ACC9648
TXN00128,39263.81,01/29/2026,ACC3529
TXN00129,47103.78,04/03/2026,ACC8492
TXN00130,39223.78,01/30/2026,ACC1615
TXN00131,31510.4,03/09/2026,ACC8166
TXN00132,15367.29,05/01/2026,ACC4140
TXN00133,1017.85,02/08/2026,ACC8547
TXN00134,24027.56,01/31/2026,ACC9962
TXN00135,3237.78,01/25/2026,ACC9164
TXN00136,13234.18,03/27/2026,ACC7952
TXN00137,34943.23,04/02/2026,ACC7890
TXN00138,39954.68,04/05/2026,ACC9271
TXN00139,25036.93,01/26/2026,ACC6107
TXN00140,11461.42,04/08/2026,ACC5832
TXN00141,44875.57,03/04/2026,ACC7832
TXN00142,29942.71,04/29/2026,ACC7446
TXN00143,1669.62,03/18/2026,ACC3325
TXN00144,19969.42,04/25/2026,ACC6147
TXN00145,16797.52,01/24/2026,ACC9598
TXN00146,33389.28,02/18/2026,ACC7125
TXN00147,642.1,02/05/2026,ACC2323
TXN00148,28275.88,04/08/2026,ACC4398
TXN00149,41189.4,02/25/2026,ACC2437
TXN00150,46015.57,01/25/2026,ACC6297
